b93,b146,b58,b99,b161,b114,TS
2599.96991,2870.233515,1881.037132,2710.246159,2353.316421,2717.670615,8.875
2203.565912,2950.391676,1418.174395,2322.00633,2493.297041,2464.11505,1.65
2003.668374,2519.611396,1362.081626,2084.866517,2082.014085,2233.877881,1.45
2396.018726,2733.256402,1764.202305,2458.721031,2259.520166,2572.277529,8.2
2008.962175,2557.37224,1220.163799,2101.468506,2056.893669,2270.118019,3.875
2206.112201,2766.676215,1514.338503,2278.394208,2369.46463,2480.161418,2.1
2799.09283,2775.474392,2292.600672,2829.435019,2301.855954,2812.15637,11.8
2068.633163,2717.502401,1313.671895,2184.865877,2347.705346,2328.939821,2.4
2747.671309,3319.134357,1828.486153,2840.141636,2974.81975,3018.582054,8.725
1997.589017,2617.383922,1225.483146,2058.687609,2181.607216,2236.341668,1.775
2036.338988,2603.56146,1331.904289,2158.440461,2051.739277,2297.740877,4.475
2077.445324,2703.372844,1398.732394,2161.206678,2378.809305,2349.498338,3.9
2334.575724,3008.475866,1548.262542,2433.318405,2556.476025,2586.954581,2.175
2336.045893,2502.272353,1839.873239,2369.160943,1831.392784,2413.237379,4.95
2588.690141,3066.482875,1905.732554,2643.488956,2719.550896,2797.712708,9.0
2914.669823,2798.015088,2500.354414,2935.98122,2151.164045,2891.891172,5.775
2011.15276,2544.832143,1276.120617,2076.139123,2013.571104,2215.655519,1.9
2370.40541,3040.600032,1537.84219,2436.319302,2636.339309,2629.268406,1.675
2590.930378,3284.109955,1644.409891,2677.602913,2954.93774,2912.451184,4.125
2310.898207,2625.602753,1673.613476,2358.297695,2275.927497,2505.452465,4.225
2265.800416,3194.004962,1418.173976,2373.955346,2993.239757,2622.956946,1.65
2124.304577,2279.87596,1589.396447,2148.419334,1667.895807,2169.900928,10.2
2632.370999,3179.911492,1838.497279,2748.597311,2819.956306,2923.522407,6.825
2633.666245,2729.838266,2128.839215,2685.495806,2228.087039,2711.687609,8.55
2513.876921,2376.706786,2010.46767,2523.488956,1697.477433,2512.34235,8.225
1982.671784,2525.813103,1297.360342,2072.419845,2056.05618,2231.660706,2.3
2280.635385,2995.490109,1453.110777,2420.60595,2632.573192,2594.568761,2.175
2135.121538,2668.689033,1411.719576,2196.234689,2211.002532,2314.879253,4.625
2554.7374,2897.798716,1922.126645,2662.84077,2385.767897,2707.922472,6.45
2986.675107,2781.28533,2588.687134,2965.516854,2109.173762,2863.30527,6.05
2251.152689,2319.492478,1690.632522,2253.770487,1602.246479,2271.067542,4.525
2218.033075,2640.009179,1556.745846,2292.180567,2222.793796,2429.735085,3.475
2152.189587,2862.215699,1451.523659,2259.483463,2490.405444,2464.567337,3.275
2850.684699,2866.271287,2162.571383,2868.065941,2421.319942,2864.00128,11.2
2295.214433,2708.64947,1665.316031,2334.243709,2345.322361,2547.216332,1.625
2207.941581,2753.109315,1464.430218,2302.119238,2329.956786,2455.572183,2.25
3095.785877,2872.048701,2661.041071,3123.598377,2174.693344,3062.284578,6.45
2461.002881,3005.549776,1730.68806,2575.960147,2486.308579,2688.877561,2.125
3349.639405,3083.240237,2991.462068,3308.940301,2496.59443,3286.147407,7.575
2416.184091,2856.721104,1694.326136,2539.776299,2460.013312,2639.349026,3.0
2212.290493,2911.776248,1461.018406,2292.427977,2630.899968,2513.728553,4.825
2268.508467,2901.45292,1396.290078,2360.51179,2557.254945,2515.740624,4.35
2312.786517,2827.758506,1538.752492,2371.395157,2445.198133,2611.444691,2.15
2778.01899,2970.435987,2082.885108,2840.067574,2519.689983,2871.852034,8.125
2032.919334,2697.338828,1281.707586,2120.570262,2350.620038,2314.149488,1.475
2855.707426,2704.133483,2443.201825,2911.462708,2049.4992,2868.716389,8.375
2234.692382,2899.372119,1464.71719,2298.760243,2614.820102,2562.518246,1.325
