b23,b37,b53,TS
902.3450704,1349.489597,1614.316741,8.875
643.4984966,981.2796329,1209.377433,1.65
651.2568822,955.7765685,1144.908451,1.45
850.2207106,1271.183259,1550.771607,8.2
519.1917208,813.3560065,1000.144318,3.875
700.2745688,1044.071372,1251.906156,2.1
1289.683419,1763.653969,2032.628681,11.8
602.6298015,896.0670615,1090.088348,2.4
854.3616078,1298.594714,1564.842064,8.725
541.2457667,855.6567495,1058.438994,1.775
592.328105,906.7349552,1101.056178,4.475
671.7113467,1003.287071,1188.143377,3.9
701.8017091,1075.02532,1314.040354,2.175
1011.910429,1379.137838,1629.850609,4.95
990.2760883,1405.059059,1665.208867,9.0
1375.379775,1836.414125,2232.785714,5.775
572.9034091,895.1357143,1080.496916,1.9
705.1830986,1075.509283,1323.517606,1.675
721.6272407,1114.371639,1361.957426,4.125
827.3357875,1221.914693,1470.888604,4.225
628.9767926,969.0398528,1169.31338,1.65
879.246959,1215.334027,1405.757843,10.2
906.2791293,1320.298816,1584.34251,6.825
1104.38772,1557.98006,1899.288337,8.55
1020.640365,1468.212868,1744.840109,8.225
592.7398323,919.915493,1093.631113,2.3
631.8414306,963.3046368,1211.138313,2.175
686.618927,1029.975154,1225.258585,4.625
1010.698555,1411.83114,1692.107063,6.45
1625.895395,2066.236588,2357.403703,6.05
805.3569142,1234.158451,1500.496639,4.525
733.4594081,1109.074062,1353.373002,3.475
696.013768,1027.607058,1276.730179,3.275
1046.93886,1534.285851,1902.737356,11.2
800.560057,1160.00269,1385.881152,1.625
689.840589,1031.162612,1240.59507,2.25
1534.139286,2084.949351,2392.911039,6.45
806.2664853,1187.507362,1490.354033,2.125
1886.713828,2373.886204,2715.202785,7.575
765.1907468,1183.12711,1433.28539,3.0
678.1856594,1014.779609,1229.768566,4.825
622.4200032,970.6068998,1197.423326,4.35
722.303529,1068.222662,1297.487102,2.15
1100.085298,1536.657541,1843.41937,8.125
591.9710307,891.8447503,1079.492478,1.475
1309.327785,1803.645647,2161.525448,8.375
648.6016325,989.846831,1205.404449,1.325
