b25,b31,b64,b71,b98,b99,b154,TS
948.346991,1263.622119,2053.696863,2209.272727,2713.945583,2710.246159,2347.290333,8.875
669.5459725,906.7406235,1565.482038,1727.232948,2314.51179,2322.00633,2591.108561,1.65
679.1341229,922.5171255,1462.391485,1610.690941,2078.549296,2084.866517,2013.828745,1.45
912.4242958,1204.970871,1899.350192,2013.596191,2443.146447,2458.721031,2263.922055,8.2
555.9199675,747.299513,1346.658117,1520.407955,2091.351136,2101.468506,2115.301786,3.875
727.06884,989.1607849,1605.07153,1780.789682,2262.383447,2278.394208,2389.207628,2.1
1353.851152,1680.326344,2419.879001,2561.15669,2828.560179,2829.435019,2257.49952,11.8
622.7597631,848.7426376,1468.699424,1607.240557,2180.830346,2184.865877,2316.24952,2.4
880.9393891,1210.470802,2000.727489,2207.184681,2838.195442,2840.141636,2921.861845,8.725
571.8887482,796.3101757,1377.311758,1537.191328,2065.969299,2058.687609,2223.099225,1.775
623.112516,841.7267926,1470.608195,1599.15685,2158.040173,2158.440461,2189.276248,4.475
710.0889381,947.7050166,1523.018199,1656.762937,2147.805507,2161.206678,2286.737617,3.9
732.6815952,994.1378383,1701.050324,1860.550245,2430.98101,2433.318405,2558.010603,2.175
1055.278525,1326.224719,1954.356227,2069.96376,2362.160468,2369.160943,2004.29894,4.95
1045.606594,1336.435019,2031.867798,2200.628521,2622.46767,2643.488956,2761.304417,9.0
1406.439968,1790.010273,2647.578812,2744.671268,2939.901284,2935.98122,2278.62809,5.775
604.4519481,823.8060065,1408.921104,1555.761039,2068.012825,2076.139123,2015.966234,1.9
749.3476312,981.7559219,1684.50016,1868.68758,2430.443662,2436.319302,2664.620198,1.675
755.93758,1031.521607,1805.738636,2001.0,2665.379481,2677.602913,2893.162932,4.125
860.0641805,1159.84235,1794.954545,1941.838508,2373.076985,2358.297695,2216.114277,4.225
659.3799616,884.3095391,1550.071223,1730.12516,2355.152209,2373.955346,3041.131562,1.65
892.9271767,1170.897247,1709.850512,1834.53137,2133.198464,2148.419334,1838.926697,10.2
941.3385083,1234.372439,2016.507202,2152.319782,2734.888124,2748.597311,2804.995679,6.825
1175.183257,1492.338819,2265.805349,2383.181041,2678.093369,2685.495806,2237.377433,8.55
1091.460467,1363.886044,2125.482234,2276.238636,2525.176697,2523.488956,1745.576024,8.225
635.6470961,848.1253363,1416.084032,1582.178984,2056.878462,2072.419845,2129.023421,2.3
653.645197,896.3600253,1601.484412,1760.008546,2416.485995,2420.60595,2652.052065,2.175
705.2620668,952.4296566,1564.758981,1731.989081,2193.53347,2196.234689,2125.226935,4.625
1049.360353,1343.793419,2077.360514,2204.182183,2671.47496,2662.84077,2497.547673,6.45
1698.875455,2012.67938,2734.837,2833.29435,2967.846969,2965.516854,2268.93116,6.05
858.4444622,1139.797855,1833.65733,1951.196863,2254.889405,2253.770487,1646.18838,4.525
775.8787783,1038.162367,1689.056813,1833.26175,2281.727014,2292.180567,2179.473651,3.475
738.4298148,962.0705808,1573.516537,1716.303371,2249.316189,2259.483463,2449.049375,3.275
1122.119238,1433.057298,2330.944782,2471.356914,2880.144366,2868.065941,2452.65589,11.2
820.0340244,1109.806298,1728.833201,1883.934325,2323.877671,2334.243709,2271.81611,1.625
724.6627721,966.7275928,1605.360755,1760.916133,2302.663892,2302.119238,2373.671895,2.25
1579.238474,1944.681981,2824.381331,2889.987175,3121.945617,3123.598377,2329.562662,6.45
833.3961268,1112.216229,1879.600832,2021.56226,2575.96959,2575.960147,2624.668534,2.125
1995.073784,2238.12356,3103.244078,3241.31258,3285.21751,3308.940301,2611.547375,7.575
818.2900974,1083.117045,1830.637987,1945.934416,2525.994481,2539.776299,2395.794805,3.0
710.7227913,967.5305698,1579.212868,1745.306978,2281.450864,2292.427977,2556.333387,4.825
661.7939547,894.4975471,1569.291977,1744.548663,2351.844912,2360.51179,2459.739516,4.35
763.8639025,1020.592974,1654.745213,1836.408134,2354.742523,2371.395157,2407.989714,2.15
1148.046526,1462.681595,2238.24545,2393.359551,2828.546289,2840.067574,2602.842697,8.125
628.1598912,846.650128,1416.706466,1575.78201,2107.196383,2120.570262,2320.518086,1.475
1376.152049,1723.733195,2585.214629,2667.828585,2930.658291,2911.462708,2131.022087,8.375
666.4396607,939.0774648,1555.150448,1732.911972,2283.338508,2298.760243,2545.409731,1.325
